ID_pond	temp_air1_2021	temp_air2_2021	temp_air3_2021	temp_air1_2024	temp_air2_2024	temp_air3_2024	temp_eau1_2021	temp_eau2_2021	temp_eau3_2021	temp_eau1_2024	temp_eau2_2024	temp_eau3_2024	pluie1_2021	pluie2_2021	pluie3_2021	pluie1_2024	pluie2_2024	pluie3_2024	prof1_2021	prof2_2021	prof3_2021	prof1_2024	prof2_2024	prof3_2024	method1_2021	method2_2021	method3_2021	method1_2024	method2_2024	method3_2024	date1_2021	date2_2021	date3_2021	date1_2024	date2_2024	date3_2024	altitude	foret	haies	route	nb_mares	dist_presence	surface	ensoleillement	hydrophytes	X_L93	Y_L93
1	12	9	15	12	6	4.2	11	15	19	NA	11.5	10.2	0	0	0	1	1	1	150	150	150	150	150	140	vue	vue	vue	nasse_flottante	nasse_flottante	nasse_flottante	10/04/2021	12/05/2021	31/05/2021	03/04/2024	16/04/2024	26/04/2024	141	22168	1365.088819	26521	10	3002.326496	400	4	40	1047949.52684378	6832256.34865314
2	7	12	10	7	11.5	13	9	14	14	14.35	14.6	16.5	0	0	0	1	1	1	60	50	115	70	70	70	vue	vue	vue	vue	vue	vue	19/04/2021	26/04/2021	18/05/2021	15/04/2024	02/05/2024	15/05/2024	128	696951	0	0	17	0.314200717	100	3	50	1064173.31332316	6859385.97737469
3	NA	NA	NA	14	NA	12.2	NA	NA	NA	14.4	NA	15.2	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nasse_immergee	nasse_immergee	nasse_immergee	NA	NA	NA	21/03/2024	08/04/2024	02/05/2024	139	711641	0	11495	2	210.8132448	320	3	10	1047668.76328598	6853995.33140558
4	7.2	11.8	11.5	14.2	6.8	14.1	11.3	10.7	NA	12.25	11.2	14.45	1	0	0	0	NA	0	NA	NA	NA	80	NA	NA	nasse_flottante	nasse_flottante	nasse_flottante	nasse_immergee	nasse_immergee	nasse_immergee	30/04/2021	07/05/2021	12/05/2021	18/03/2024	10/04/2024	06/05/2024	141	382019	370.4694151	21243	1	3.289060214	165	1	10	1053956.49535869	6834762.4753867
5	NA	NA	NA	13	NA	12.2	NA	NA	NA	12.8	NA	13.9	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nasse_immergee	nasse_immergee	nasse_immergee	NA	NA	NA	21/03/2024	08/04/2024	02/05/2024	138	767170	0	0	2	234.557615	1000	2	10	1048345.0035913	6854370.49704874
6	NA	NA	NA	11.9	17	12.4	NA	NA	NA	14	18.3	13.8	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nasse_immergee	nasse_immergee	nasse_immergee	NA	NA	NA	21/03/2024	08/04/2024	02/05/2024	138	696464	0	0	2	10.29785659	2100	0	10	1047702.00000019	6855071.99999689
7	NA	NA	NA	17	15.7	13.4	NA	NA	NA	13.3	16.4	15.6	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nasse_immergee	nasse_immergee	nasse_immergee	NA	NA	NA	21/03/2024	08/04/2024	02/05/2024	140	733984	0	26654	1	344.2083185	75	3	10	1047345.83459308	6854474.18539175
8	7	6	16	12	5	NA	10	17	17	NA	NA	NA	0	0	0	1	1	1	100	100	100	NA	NA	NA	vue	vue	vue	vue	vue	NA	19/04/2021	26/04/2021	02/06/2021	22/03/2024	18/04/2024	NA	123	562948	116.8776619	1742	4	2280.672884	200	3	20	1067181.93127314	6873221.09670508
9	7	6	16	12	5	12	10	14	17	NA	NA	NA	0	0	0	1	1	1	100	100	100	NA	NA	NA	vue	vue	vue	vue	vue	NA	19/04/2021	26/04/2021	02/06/2021	22/03/2024	18/04/2024	NA	119	526160	145.6229725	7117	4	2214.592262	1600	3	20	1067253.66675842	6873206.74960803
10	10	13	17	11	9	11.6	16	19	21	12	15.7	17.2	1	1	0	0	0	0	40	40	40	30	30	35	vue	vue	vue	nasse_immergee	nasse_immergee	nasse_immergee	23/04/2021	10/05/2021	28/05/2021	26/03/2024	12/04/2024	30/04/2024	152	418050	313.5076176	0	1	7.423338557	400	4	30	1050606.21941007	6824100.13191685
