ThermodayNum;DatePoseX;DateF;DateTime;HeureNum;HeureFactor;mois;annee;nightday;DateNum;Surface;Shelter;MeanNR;Day;Heat_Day;SMR_VB;EWL_VB;SMR_VS;EWL_VS;SMR_VA;EWL_VA;SMR_VL;EWL_VL;SMR_VAm;EWL_VAm
1;30/06/2003;30/06/2003;30/06/2003 09:01;9;09:01;jui;2003;D;1;16.5;18;18;30/06/2003;N;;;;;;;;;;
1;30/06/2003;30/06/2003;30/06/2003 10:01;10;10:01;jui;2003;D;1;16.5;18;17.75;30/06/2003;N;;;;;;;;;;
1;30/06/2003;30/06/2003;30/06/2003 11:01;11;11:01;jui;2003;D;1;17;18;17.75;30/06/2003;N;;;;;;;;;;
1;30/06/2003;30/06/2003;30/06/2003 12:01;12;12:01;jui;2003;D;1;18;18.5;18;30/06/2003;N;;;;;;;;;;
1;30/06/2003;30/06/2003;30/06/2003 13:01;13;13:01;jui;2003;D;1;19;18.5;18.25;30/06/2003;N;;;;;;;;;;
1;30/06/2003;30/06/2003;30/06/2003 14:01;14;14:01;jui;2003;D;1;18.5;18.5;18.5;30/06/2003;N;;;;;;;;;;
1;30/06/2003;30/06/2003;30/06/2003 15:01;15;15:01;jui;2003;D;1;17;18;18.75;30/06/2003;N;;;;;;;;;;
1;30/06/2003;30/06/2003;30/06/2003 16:01;16;16:01;jui;2003;D;1;17.5;18;18.5;30/06/2003;N;;;;;;;;;;
1;30/06/2003;30/06/2003;30/06/2003 17:01;17;17:01;jui;2003;D;1;22.5;18;18.5;30/06/2003;N;;;;;;;;;;
1;30/06/2003;30/06/2003;30/06/2003 18:01;18;18:01;jui;2003;D;1;28.5;18.5;25;30/06/2003;N;;;;;;;;;;
1;30/06/2003;30/06/2003;30/06/2003 19:01;19;19:01;jui;2003;D;1;28;19;22;30/06/2003;N;;;;;;;;;;
1;30/06/2003;30/06/2003;30/06/2003 20:01;20;20:01;jui;2003;D;1;20;19;20.5;30/06/2003;N;;;;;;;;;;
1;30/06/2003;30/06/2003;30/06/2003 21:01;21;21:01;jui;2003;D;1;17.5;19;19.75;30/06/2003;N;;;;;;;;;;
1;30/06/2003;30/06/2003;30/06/2003 22:01;22;22:01;jui;2003;N;1;15.5;18.5;19.25;30/06/2003;N;;;;;;;;;;
1;30/06/2003;30/06/2003;30/06/2003 23:01;23;23:01;jui;2003;N;1;15.5;18;18.5;30/06/2003;N;;;;;;;;;;
